;station_ID;station_names;lon;lat;alt
1;65306;Kandi ;2.933352;11.133336;290
2;65319;Natitingou ;1.383341;10.316673;460
3;65330;Parakou ;2.616679;9.350007;392
4;65335;Save ;2.466676;8.033334;199
5;65338;Bohicon ;2.066668;7.16667;166
6;65344;Cotonou ;2.383341;6.350007;5
7;65501;Dori ;-0.033334;14.033334;276
8;65502;Ouahigouya ;-2.416675;13.566678;337
9;65503;Ouagadougou ;-1.516677;12.350007;316
10;65505;Dedougou ;-3.483343;12.466676;300
11;65507;Fada N'Gourma ;0.366674;12.033334;308
12;65510;Bobo-Dioulasso ;-4.316673;11.16667;460
13;65516;Boromo ;-2.933352;11.750015;270
14;65518;Po ;-1.150003;11.150003;320
15;65522;Gaoua ;-3.183337;10.33334;333
16;65528;Odienne ;-7.566678;9.50001;434
17;65536;Korhogo ;-5.616679;9.416675;381
18;65545;Bondoukou ;-2.783349;8.050001;369
19;65548;Man ;-7.516677;7.383341;339
20;65555;Bouake ;-5.066668;7.733348;376
21;65557;Gagnoa ;-5.950019;6.133336;205
22;65560;Daloa ;-6.466676;6.866684;276
23;65562;Dimbokro ;-4.700014;6.650013;92
24;65563;Yamoussoukro ;-5.350007;6.900018;196
25;65578;Abidjan ;-3.933352;5.250005;7
26;65585;Adiake ;-3.300006;5.300006;33
27;65592;Tabou ;-7.366674;4.416675;21
28;65594;San Pedro ;-6.650013;4.750015;30
29;65599;Sassandra ;-6.083335;4.950019;62
30;65401;Navrongo ;-1.100002;10.900018;201
31;65404;Wa ;-2.50001;10.050001;323
32;65416;Bole ;-2.483343;9.033334;299
33;65418;Tamale ;-0.850017;9.550011;168
34;65420;Yendi ;-0.016667;9.450009;195
35;65432;Wenchi ;-2.100002;7.750015;339
36;65437;Kete-Krachi ;-0.033334;7.816683;122
37;65439;Sunyani ;-2.33334;7.33334;309
38;65442;Kumasi ;-1.600012;6.716681;287
39;65445;Sefwi Bekwai ;-2.33334;6.200004;171
40;65450;Abetifi ;-0.750015;6.66668;594
41;65453;Ho ;0.466676;6.600012;158
42;65457;Akim Oda ;-0.983353;5.933352;139
43;65459;Koforidua ;-0.250005;6.083335;166
44;65460;Akuse ;0.116669;6.100002;17
